v_ACE_OUT,gt,0.1x-prior,0.2x-prior,0.3x-prior,0.4x-prior,0.5x-prior,1.5x-prior,3x-prior,5x-prior,7x-prior,10x-prior,0.1x-post,0.2x-post,0.3x-post,0.4x-post,0.5x-post,1.5x-post,3x-post,5x-post,7x-post,10x-post
1.0,vACS,vXCH_ACE2,vXCH_ACE1,vXCH_ACE1,vXCH_ACE2,vXCH_ACE2,vXCH_ACE2,vXCH_ACE2,vGLC_feed,vATP_MAINTENANCE,vXCH_ACE1,vGLT,vGLT,vGLT,vGLT,vGLT,vPFK,vACS,vACK,vACS,vXCH_ACE1
2.0,vGLT,vXCH_ACE1,vXCH_ACE2,vXCH_ACE2,vXCH_ACE1,vXCH_ACE1,vXCH_ACE1,vATP_MAINTENANCE,vPNT_req,vXCH_ACE2,vGLC_feed,vPGK,vPTA,vPTA,vADK,vACS,vATP_MAINTENANCE,vACK,vACEA,vACK,vGLC_feed
3.0,vACK,vATP_MAINTENANCE,vATP_MAINTENANCE,vATP_MAINTENANCE,vATP_syn,vATP_syn,vCYTBO,vXCH_ACE1,vATP_syn,vXCH_ACE1,vPTS_1,vACS,vACS,vXCH_ACE1,vPTA,vGLC_feed,vGLT,vXCH_ACE1,vACEB,vTPI,vPIT
4.0,vGLC_feed,vACN_1,vPTA,vPTA,vPGK,vPTA,vACK,vACK,vATP_MAINTENANCE,vACK,vPTS_0,vPTA,vXCH_ACE1,vACS,vACS,vXCH_ACE1,vATP_syn,vGLT,vXCH_ACE2,vXCH_ACE1,vACK
5.0,vATP_MAINTENANCE,vACN_2,vGLT,vXCH_P,vENO,vACN_1,vADK,vCYTBO,vLPD,vNDHII,vCYTBO,vGLC_feed,vPYK,vATP_MAINTENANCE,vATP_MAINTENANCE,vPTA,vXCH_ACE2,vPIT,vPTA,vPIT,vACS
6.0,vATP_syn,vGLT,vACN_1,vACN_1,vGPM,vACS,vATP_MAINTENANCE,vGLC_feed,vCYTBO,vPIT,vATP_syn,vXCH_P,vGLC_feed,vPYK,vGDH,vATP_MAINTENANCE,vPGI,vCYTBO,vATP_syn,vATP_MAINTENANCE,vXCH_P
7.0,vPTA,vPTA,vACN_2,vGLT,vGDH,vACN_2,vACS,vADK,vXCH_ACE2,vXCH_P,vLPD,vATP_syn,vPIT,vPFK,vCYTBO,vACK,vPDH,vATP_MAINTENANCE,vXCH_ACE1,vGDH,vLPD
8.0,vNADH_req,vXCH_P,vXCH_P,vACN_2,vFUMA,vGLT,vATP_syn,vACS,vXCH_ACE1,vADK,vPNT_req,vATP_MAINTENANCE,vATP_MAINTENANCE,vPGI,vPCK,vXCH_ACE2,vENO,vGDH,vATP_MAINTENANCE,vXCH_P,vACEA
9.0,vGROWTH,vGDH,vACS,vPIT,vSDH,vADK,vGLC_feed,vPIT,vNDHII,vACS,vATP_MAINTENANCE,vXCH_ACE1,vGDH,vRPI,vACK,vACN_1,vACS,vPFK,vGLT,vXCH_ACE2,vATP_syn
10.0,vNDHII,vFUMA,vSDH,vFUMA,vACN_1,vGDH,vGLT,vXCH_P,vACK,vZWF,vNDHII,vNADH_req,vPGK,vGDH,vPGK,vATP_syn,vXCH_ACE1,vGLC_feed,vXCH_P,vGLC_feed,vCYTBO
11.0,vDOS,vPIT,vPIT,vACS,vGLT,vCYTBO,vACN_2,vGLT,vPGI,vACEA,vXCH_ACE2,vPIT,vXCH_P,vXCH_P,vPFK,vPYK,vPYK,vENO,vPDH,vPDH,vXCH_GLC
12.0,vCYA,vGPM,vADK,vSDH,vPTA,vPDH,vACN_1,vACN_1,vPTS_0,vPNT_req,vACK,vSDH,vLPD,vTPI,vXCH_ACE1,vXCH_GLC,vACN_1,vXCH_P,vACS,vPGK,vGND
13.0,vPIT,vPGK,vGPM,vGPM,vACN_2,vENO,vPTA,vACN_2,vPTS_2,vCYTBO,vZWF,vGROWTH,vATP_syn,vXCH_ACE2,vPPC,vPFK,vGLC_feed,vGPM,vGLC_feed,vMQO,vPDH
14.0,vPYK,vACS,vENO,vADK,vPDH,vPGK,vPDH,vNDHII,vPTS_1,vMQO,vPIT,vPFK,vTPI,vADK,vXCH_ACE2,vACN_2,vPNT_req,vMQO,vSDH,vGLT,vACN_2
15.0,vPCK,vENO,vFUMA,vENO,vACS,vPNT_req,vPTS_3,vSDH,vPTS_3,vGLT,vXCH_P,vICD,vCYA,vFBA,vACN_2,vPCK,vPTA,vPTA,vGDH,vLPD,vMQO
16.0,vLPD,vPDH,vPDH,vPGK,vATP_MAINTENANCE,vGPM,vPTS_1,vFUMA,vICD,vMDH,vADK,vPTS_0,vPDH,vNADH_req,vNDHII,vGND,vACK,vMDH,vICD,vMDH,vPFK
17.0,vZWF,vSDH,vPGK,vGDH,vCYTBO,vSDH,vPTS_4,vSQR,vPTS_4,vACN_1,vICD,vPDH,vPTS_0,vGND,vACN_1,vXCH_P,vNDHII,vGROWTH,vPIT,vATP_syn,vPGL
18.0,vMQO,vADK,vGDH,vPDH,vADK,vFUMA,vPTS_2,vMQO,vADK,vFUMA,vGDH,vXCH_ACE2,vADK,vATP_syn,vPTS_0,vPIT,vNADH_req,vPCK,vSQR,vPFK,vGROWTH
19.0,vGDH,vATP_syn,vNDHII,vNDHII,vXCH_P,vPGI,vPTS_0,vPDH,vZWF,vSDH,vACS,vADK,vDOS,vENO,vPYK,vNDHII,vDOS,vTPI,vNDHII,vPTA,vMDH
20.0,vMDH,vPTS_1,vACK,vCYTBO,vPIT,vICD,vPGI,vLPD,vXCH_GLC,vACN_2,vPGK,vTPI,vXCH_GLC,vRPE,vACEA,vACEA,vGROWTH,vADK,vRPI,vSDH,vXCH_ACE2
21.0,vEDD,vPTS_2,vACEB,vACK,vSK,vSK,vXCH_GLC,vMDH,vGDH,vSQR,vPGI,vPTS_2,vGROWTH,vACN_1,vTPI,vRPE,vGND,vICD,vTPI,vGROWTH,vACEB
22.0,vGND,vPTS_0,vXCH_GLC,vACEB,vPNT_req,vPTS_2,vICD,vACEA,vPGK,vACEB,vGLT,vRPI,vNADH_req,vF6P_GAP_TAL,vACEB,vPPC,vCYA,vZWF,vLPD,vNDHII,vPGK
23.0,vCYTBO,vXCH_GLC,vPTS_0,vATP_syn,vICD,vPTS_1,vPNT_req,vPTA,vACS,vATP_syn,vENO,vACN_2,vMAD,vGLC_feed,vCYA,vLPD,vXCH_GLC,vPGK,vENO,vPTS_4,vGLT
24.0,vACEA,vFBA,vPTS_3,vPTS_1,vPGI,vPTS_0,vSDH,vENO,vSK,vCYA,vGPM,vPCK,vXCH_ACE2,vPIT,vFBA,vPNT_req,vADK,vPPC,vZWF,vACEB,vADK
25.0,vS7P_E4P_TAL,vACEB,vPTS_4,vPTS_0,vPTS_4,vACK,vSQR,vPTS_1,vPFK,vPPC,vSDH,vEDA,vACN_1,vICD,vSDH,vADK,vCYTBO,vFUMA,vPYK,vFBA,vZWF
26.0,vMAD,vNDHII,vPTS_1,vPTS_3,vXCH_GLC,vATP_MAINTENANCE,vFUMA,vGPM,vPDH,vPTA,vSK,vPYK,vFBA,vGROWTH,vATP_syn,vMAD,vGPM,vCYA,vPNT_req,vACEA,vSK
27.0,vPDH,vPTS_3,vPTS_2,vPTS_2,vPTS_3,vPTS_3,vLPD,vPTS_3,vENO,vPDH,vFUMA,vGND,vPPC,vCYA,vMQO,vSDH,vPPC,vNADH_req,vGROWTH,vICD,vCYA
28.0,vSDH,vTPI,vCYTBO,vICD,vPTS_0,vPTS_4,vGDH,vPTS_2,vGPM,vGND,vSQR,vENO,vPTS_4,vNDHII,vF6P_GAP_TAL,vENO,vS7P_R5P_TKT,vFBA,vPFK,vSQR,vGPM
29.0,vPPC,vICD,vICD,vPTS_4,vLPD,vXCH_GLC,vGPM,vPTS_0,vGLT,vPGL,vACN_2,vPTS_4,vACK,vLPD,vMAD,vPGL,vPCK,vACEK_2,vFUMA,vFUMA,vATP_MAINTENANCE
30.0,vICD,vACK,vSK,vXCH_GLC,vFBA,vLPD,vENO,vXCH_GLC,vFBA,vNADH_req,vACN_1,vX5P_GAP_TKT,vF6P_GAP_TAL,vEDD,vGND,vF6P_E4P_TKT,vEDD,vACEK_1,vPCK,vACEK_1,vRPE
31.0,vACEK_1,vPGI,vMQO,vSK,vPFK,vPFK,vPGK,vICD,vACN_2,vGPM,vPFK,vFBA,vRPE,vPPC,vMDH,vNADH_req,vPTS_3,vRPI,vGPM,vACEK_2,vNDHII
32.0,vACEK_2,vPTS_4,vACEA,vMQO,vPTS_1,vFBA,vSK,vPTS_4,vACN_1,vENO,vPDH,vEDD,vPGI,vS7P_E4P_TAL,vPGL,vPTS_3,vICD,vNDHII,vNADH_req,vPTS_3,vDOS
33.0,vPGI,vPGL,vSQR,vSQR,vTPI,vTPI,vMQO,vCYA,vTPI,vGROWTH,vXCH_GLC,vS7P_R5P_TKT,vGPM,vGPM,vENO,vICD,vRPI,vXCH_ACE2,vMQO,vPYK,vGDH
34.0,vADK,vSK,vPYK,vTPI,vPTS_2,vSQR,vPFK,vSK,vSDH,vPYK,vGND,vDOS,vPCK,vPNT_req,vGPM,vACEB,vPTS_4,vATP_syn,vACN_2,vEDA,vF6P_E4P_TKT
35.0,vEDA,vEDA,vFBA,vMDH,vACK,vXCH_P,vPIT,vGDH,vSQR,vPCK,vFBA,vF6P_E4P_TKT,vPTS_2,vPCK,vXCH_GLC,vPGI,vMAD,vGND,vMDH,vZWF,vRPI
36.0,vACEB,vNADH_req,vTPI,vLPD,vSQR,vMQO,vMDH,vATP_syn,vFUMA,vPFK,vPTS_4,vGPM,vPNT_req,vPGL,vGROWTH,vEDA,vACN_2,vACEB,vACEK_1,vF6P_GAP_TAL,vPCK
37.0,vRPI,vRPI,vMDH,vFBA,vMQO,vPIT,vXCH_P,vPGK,vPIT,vF6P_GAP_TAL,vTPI,vSK,vPTS_1,vMAD,vGLC_feed,vEDD,vPTS_0,vPYK,vACEK_2,vXCH_GLC,vACN_1
38.0,vFBA,vLPD,vPGL,vPFK,vMDH,vGLC_feed,vCYA,vPGI,vXCH_P,vPGI,vPTS_2,vGDH,vX5P_GAP_TKT,vZWF,vSQR,vMQO,vPTS_2,vF6P_GAP_TAL,vF6P_E4P_TKT,vX5P_GAP_TKT,vEDD
39.0,vENO,vDOS,vATP_syn,vPGI,vACEB,vMDH,vFBA,vZWF,vACEA,vLPD,vPTS_3,vS7P_E4P_TAL,vCYTBO,vPGK,vSK,vPTS_4,vF6P_E4P_TKT,vPTS_4,vXCH_GLC,vPTS_2,vPPC
40.0,vSQR,vMQO,vPGI,vACEA,vGLC_feed,vPYK,vTPI,vACEB,vGND,vS7P_E4P_TAL,vMQO,vSQR,vACEB,vX5P_GAP_TKT,vPTS_4,vMDH,vPTS_1,vEDD,vGND,vDOS,vACEK_1
41.0,vPNT_req,vACEA,vDOS,vPYK,vGND,vACEB,vACEA,vPFK,vPGL,vTPI,vMDH,vACN_1,vACN_2,vSK,vF6P_E4P_TKT,vPGK,vSQR,vPGL,vPTS_4,vCYTBO,vACEK_2
42.0,vX5P_GAP_TKT,vCYTBO,vLPD,vPGL,vNDHII,vCYA,vACEB,vFBA,vPYK,vFBA,vPGL,vPGL,vENO,vACK,vRPI,vDOS,vPIT,vPTS_0,vFBA,vACN_2,vPNT_req
43.0,vF6P_GAP_TAL,vMDH,vEDA,vCYA,vCYA,vGND,vX5P_GAP_TKT,vPPC,vCYA,vRPE,vCYA,vPTS_3,vPFK,vMQO,vRPE,vGROWTH,vF6P_GAP_TAL,vMAD,vPTS_3,vS7P_R5P_TKT,vPTS_1
44.0,vF6P_E4P_TKT,vSQR,vPFK,vDOS,vRPE,vX5P_GAP_TKT,vPCK,vTPI,vX5P_GAP_TKT,vICD,vRPE,vACK,vICD,vACEK_2,vXCH_P,vS7P_R5P_TKT,vACEB,vACN_2,vS7P_R5P_TKT,vCYA,vICD
45.0,vPTS_1,vPFK,vCYA,vEDA,vEDA,vRPE,vNDHII,vNADH_req,vPTA,vMAD,vX5P_GAP_TKT,vNDHII,vSK,vACEK_1,vX5P_GAP_TKT,vZWF,vZWF,vDOS,vPPC,vPPC,vF6P_GAP_TAL
46.0,vRPE,vCYA,vNADH_req,vPPC,vACEA,vPGL,vF6P_E4P_TKT,vF6P_GAP_TAL,vRPE,vSK,vPTA,vF6P_GAP_TAL,vPTS_3,vF6P_E4P_TKT,vPTS_1,vCYTBO,vSDH,vPGI,vCYTBO,vPNT_req,vPTS_3
47.0,vPFK,vPPC,vPPC,vGLC_feed,vPYK,vACEA,vRPE,vPGL,vPPC,vGLC_feed,vPYK,vACEA,vACEA,vMDH,vPGI,vTPI,vMQO,vPTS_3,vRPE,vNADH_req,vPTA
48.0,vGPM,vGND,vF6P_GAP_TAL,vPNT_req,vPPC,vEDA,vS7P_E4P_TAL,vS7P_E4P_TAL,vACEB,vPGK,vF6P_E4P_TKT,vMAD,vS7P_E4P_TAL,vACN_2,vPTS_2,vGDH,vMDH,vXCH_GLC,vS7P_E4P_TAL,vEDD,vSQR
49.0,vACN_1,vS7P_R5P_TKT,vS7P_E4P_TAL,vRPI,vNADH_req,vNADH_req,vF6P_GAP_TAL,vPNT_req,vF6P_E4P_TKT,vGDH,vACEA,vPTS_1,vSDH,vDOS,vACEK_2,vF6P_GAP_TAL,vXCH_P,vS7P_R5P_TKT,vDOS,vRPI,vFBA
50.0,vACN_2,vPNT_req,vGLC_feed,vF6P_GAP_TAL,vX5P_GAP_TKT,vDOS,vZWF,vX5P_GAP_TKT,vMQO,vF6P_E4P_TKT,vS7P_R5P_TKT,vACEB,vEDA,vACEB,vACEK_1,vPDH,vFBA,vPTS_1,vPTS_0,vPTS_1,vFUMA
51.0,vTPI,vGROWTH,vZWF,vS7P_E4P_TAL,vPCK,vEDD,vPYK,vF6P_E4P_TKT,vPCK,vDOS,vGROWTH,vCYA,vS7P_R5P_TKT,vPDH,vZWF,vSK,vPGL,vPNT_req,vCYA,vPGI,vPGI
52.0,vS7P_R5P_TKT,vF6P_GAP_TAL,vEDD,vEDD,vDOS,vZWF,vGND,vGND,vMDH,vS7P_R5P_TKT,vEDD,vPNT_req,vGND,vXCH_GLC,vPTS_3,vRPI,vS7P_E4P_TAL,vSK,vACN_1,vGPM,vTPI
53.0,vFBP,vEDD,vRPI,vZWF,vEDD,vF6P_E4P_TKT,vS7P_R5P_TKT,vGROWTH,vGROWTH,vPTS_4,vPCK,vMQO,vSQR,vFUMA,vS7P_E4P_TAL,vPTS_0,vACEA,vPDH,vPGK,vACN_1,vS7P_R5P_TKT
54.0,vPGL,vPYK,vGROWTH,vGROWTH,vS7P_R5P_TKT,vS7P_R5P_TKT,vPPC,vPYK,vNADH_req,vEDD,vMAD,vPPC,vEDD,vCYTBO,vEDA,vPTS_2,vPGK,vRPE,vPTS_1,vSK,vPTS_0
55.0,vPTS_2,vF6P_E4P_TKT,vX5P_GAP_TKT,vX5P_GAP_TKT,vF6P_E4P_TKT,vRPI,vEDD,vRPE,vS7P_R5P_TKT,vPTS_2,vS7P_E4P_TAL,vMDH,vRPI,vS7P_R5P_TKT,vDOS,vSQR,vACEK_1,vEDA,vPTS_2,vGND,vMAD
56.0,vFUMA,vS7P_E4P_TAL,vS7P_R5P_TKT,vPCK,vPGL,vF6P_GAP_TAL,vMAD,vDOS,vS7P_E4P_TAL,vPTS_3,vNADH_req,vZWF,vNDHII,vPTS_1,vPNT_req,vGPM,vACEK_2,vF6P_E4P_TKT,vPGI,vPTS_0,vPYK
57.0,vXCH_ACE1,vRPE,vPCK,vNADH_req,vRPI,vS7P_E4P_TAL,vNADH_req,vMAD,vF6P_GAP_TAL,vPTS_1,vF6P_GAP_TAL,vXCH_GLC,vZWF,vPTS_2,vPIT,vFBA,vGDH,vX5P_GAP_TKT,vPGL,vADK,vNADH_req
58.0,vXCH_ACE2,vX5P_GAP_TKT,vGND,vS7P_R5P_TKT,vF6P_GAP_TAL,vPPC,vGROWTH,vS7P_R5P_TKT,vMAD,vACEK_2,vRPI,vFUMA,vMQO,vSQR,vNADH_req,vS7P_E4P_TAL,vTPI,vACEA,vF6P_GAP_TAL,vRPE,vS7P_E4P_TAL
59.0,vPTS_0,vPCK,vF6P_E4P_TKT,vGND,vS7P_E4P_TAL,vMAD,vPGL,vEDD,vDOS,vX5P_GAP_TKT,vACEB,vPGI,vMDH,vEDA,vPDH,vPTS_1,vSK,vACN_1,vX5P_GAP_TKT,vF6P_E4P_TKT,vSDH
60.0,vSK,vGLC_feed,vRPE,vF6P_E4P_TKT,vZWF,vGROWTH,vACEK_1,vPCK,vEDD,vRPI,vPPC,vLPD,vACEK_2,vPTS_0,vS7P_R5P_TKT,vACEK_2,vEDA,vSDH,vSK,vPGL,vX5P_GAP_TKT
61.0,vXCH_P,vZWF,vMAD,vRPE,vGROWTH,vPCK,vACEK_2,vACEK_2,vACEK_1,vACEK_1,vEDA,vACEK_2,vACEK_1,vACEA,vFUMA,vCYA,vRPE,vPTS_2,vMAD,vPCK,vPTS_4
62.0,vPGK,vACEK_1,vPNT_req,vACEK_1,vMAD,vNDHII,vDOS,vEDA,vEDA,vEDA,vDOS,vRPE,vFUMA,vSDH,vICD,vACEK_1,vFUMA,vSQR,vADK,vS7P_E4P_TAL,vEDA
63.0,vPPS,vACEK_2,vACEK_1,vMAD,vACEK_1,vACEK_1,vRPI,vACEK_1,vACEK_2,vPTS_0,vACEK_2,vACEK_1,vF6P_E4P_TKT,vPTS_4,vEDD,vX5P_GAP_TKT,vX5P_GAP_TKT,vS7P_E4P_TAL,vEDA,vMAD,vENO
64.0,vGL6P_HYDROLYSIS,vMAD,vACEK_2,vPPS,vPPS,vACEK_2,vEDA,vRPI,vRPI,vPPS,vACEK_1,vCYTBO,vPGL,vPTS_3,vLPD,vFUMA,vLPD,vLPD,vEDD,vENO,vPTS_2
65.0,vPTS_3,vPPS,vPPS,vACEK_2,vACEK_2,vPPS,vPPS,vPPS,vFBP,vFBP,vPPS,vFBP,vPPS,vFBP,vPPS,vFBP,vFBP,vFBP,vFBP,vFBP,vFBP
66.0,vXCH_GLC,vFBP,vFBP,vFBP,vFBP,vFBP,vFBP,vFBP,vPPS,vXCH_GLC,vFBP,vPPS,vFBP,vPPS,vFBP,vPPS,vPPS,vPPS,vPPS,vPPS,vPPS
67.0,vPTS_4,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS,vGL6P_HYDROLYSIS
,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT,v_ACE_OUT
